Nombre de la Imagen,PID,Nombre de Sesión,Numero de Sesión,Uso de Memoria,Estado del Proceso,
"System Idle Process","0","Services","0","8 KB","4",
"System","4","Services","0","6652 KB","4",
"Registry","96","Services","0","46128 KB","3",
"smss.exe","404","Services","0","212 KB","0",
"csrss.exe","656","Services","0","1684 KB","1",
"wininit.exe","744","Services","0","892 KB","2",
"csrss.exe","752","Console","1","3452 KB","3",
"winlogon.exe","820","Console","1","3128 KB","1",
"services.exe","892","Services","0","5832 KB","0",
"lsass.exe","908","Services","0","12576 KB","0",
"svchost.exe","72","Services","0","356 KB","1",
"fontdrvhost.exe","548","Services","0","660 KB","4",
"fontdrvhost.exe","568","Console","1","8192 KB","4",
"svchost.exe","304","Services","0","29052 KB","0",
"svchost.exe","1032","Services","0","11520 KB","4",
"svchost.exe","1092","Services","0","4000 KB","2",
"dwm.exe","1156","Console","1","55448 KB","3",
"svchost.exe","1236","Services","0","3320 KB","2",
"svchost.exe","1256","Services","0","2916 KB","1",
"svchost.exe","1300","Services","0","5696 KB","3",
"svchost.exe","1316","Services","0","3332 KB","2",
"svchost.exe","1360","Services","0","4680 KB","0",
"svchost.exe","1404","Services","0","4424 KB","1",
"svchost.exe","1508","Services","0","3756 KB","3",
"svchost.exe","1544","Services","0","3424 KB","3",
"svchost.exe","1572","Services","0","1692 KB","1",
"svchost.exe","1716","Services","0","3940 KB","0",
"svchost.exe","1748","Services","0","9276 KB","2",
"ASCService.exe","1800","Services","0","7676 KB","4",
"svchost.exe","1848","Services","0","2520 KB","1",
"svchost.exe","1884","Services","0","10596 KB","3",
"svchost.exe","1928","Services","0","2996 KB","3",
"svchost.exe","1956","Services","0","3568 KB","3",
"svchost.exe","2000","Services","0","8244 KB","0",
"svchost.exe","2040","Services","0","8264 KB","4",
"svchost.exe","2084","Services","0","5372 KB","1",
"svchost.exe","2132","Services","0","1780 KB","1",
"svchost.exe","2208","Services","0","5772 KB","0",
"svchost.exe","2304","Services","0","5028 KB","2",
"svchost.exe","2408","Services","0","5760 KB","2",
"svchost.exe","2448","Services","0","12544 KB","1",
"svchost.exe","2476","Services","0","2132 KB","2",
"svchost.exe","2516","Services","0","2480 KB","0",
"dasHost.exe","2580","Services","0","888 KB","4",
"svchost.exe","2724","Services","0","4672 KB","4",
"svchost.exe","3036","Services","0","2156 KB","1",
"svchost.exe","3316","Services","0","45276 KB","4",
"svchost.exe","3324","Services","0","1084 KB","2",
"svchost.exe","3332","Services","0","3304 KB","3",
"Memory Compression","3388","Services","0","27792 KB","3",
"svchost.exe","3480","Services","0","3980 KB","1",
"igfxCUIService.exe","3504","Services","0","3668 KB","3",
"svchost.exe","3544","Services","0","2664 KB","2",
"svchost.exe","3552","Services","0","5348 KB","0",
"svchost.exe","3604","Services","0","10408 KB","2",
"svchost.exe","3812","Services","0","17324 KB","0",
"svchost.exe","3936","Services","0","2500 KB","4",
"svchost.exe","3944","Services","0","4300 KB","1",
"svchost.exe","2392","Services","0","7480 KB","3",
"svchost.exe","1904","Services","0","6556 KB","0",
"spoolsv.exe","4144","Services","0","3260 KB","4",
"svchost.exe","4236","Services","0","12376 KB","1",
"svchost.exe","4384","Services","0","1584 KB","1",
"svchost.exe","4396","Services","0","9964 KB","4",
"AdminService.exe","4404","Services","0","2368 KB","0",
"svchost.exe","4412","Services","0","30120 KB","2",
"svchost.exe","4424","Services","0","1900 KB","4",
"svchost.exe","4432","Services","0","3384 KB","3",
"mysqld.exe","4468","Services","0","1896 KB","0",
"svchost.exe","4520","Services","0","3468 KB","4",
"svchost.exe","4568","Services","0","6348 KB","3",
"QcomWlanSrvx64.exe","4580","Services","0","1408 KB","1",
"svchost.exe","4596","Services","0","2264 KB","0",
"ssh-agent.exe","4636","Services","0","N/D","4",
"sqlwriter.exe","4644","Services","0","1152 KB","0",
"svchost.exe","4700","Services","0","8936 KB","0",
"svchost.exe","4708","Services","0","6744 KB","1",
"MsMpEng.exe","4716","Services","0","14212 KB","4",
"svchost.exe","4824","Services","0","1772 KB","3",
"svchost.exe","4880","Services","0","380 KB","3",
"mDNSResponder.exe","5004","Services","0","3432 KB","1",
"svchost.exe","5404","Services","0","3772 KB","2",
"oracle.exe","5612","Services","0","679876 KB","3",
