"Nombre de imagen","PID","Nombre de sesi¢n","N£m. de sesi¢n","Uso de memoria"
"System Idle Process","0","Services","0","8 KB"
"System","4","Services","0","6,584 KB"
"Registry","96","Services","0","45,292 KB"
"smss.exe","404","Services","0","212 KB"
"csrss.exe","656","Services","0","1,852 KB"
"wininit.exe","744","Services","0","876 KB"
"csrss.exe","752","Console","1","3,524 KB"
"winlogon.exe","820","Console","1","3,436 KB"
"services.exe","892","Services","0","5,720 KB"
"lsass.exe","908","Services","0","12,388 KB"
"svchost.exe","72","Services","0","356 KB"
"fontdrvhost.exe","548","Services","0","684 KB"
"fontdrvhost.exe","568","Console","1","6,944 KB"
"svchost.exe","304","Services","0","28,560 KB"
"svchost.exe","1032","Services","0","11,796 KB"
"svchost.exe","1092","Services","0","4,152 KB"
"dwm.exe","1156","Console","1","97,292 KB"
"svchost.exe","1236","Services","0","3,324 KB"
"svchost.exe","1256","Services","0","2,888 KB"
"svchost.exe","1300","Services","0","5,836 KB"
"svchost.exe","1316","Services","0","3,376 KB"
"svchost.exe","1360","Services","0","4,960 KB"
"svchost.exe","1404","Services","0","3,952 KB"
"svchost.exe","1508","Services","0","4,736 KB"
"svchost.exe","1544","Services","0","3,456 KB"
"svchost.exe","1572","Services","0","2,056 KB"
"svchost.exe","1716","Services","0","3,944 KB"
"svchost.exe","1748","Services","0","9,228 KB"
"ASCService.exe","1800","Services","0","7,848 KB"
"svchost.exe","1848","Services","0","2,520 KB"
"svchost.exe","1884","Services","0","11,040 KB"
"svchost.exe","1928","Services","0","2,808 KB"
"svchost.exe","1956","Services","0","3,268 KB"
"svchost.exe","2000","Services","0","7,344 KB"
"svchost.exe","2040","Services","0","7,296 KB"
"svchost.exe","2084","Services","0","5,240 KB"
"svchost.exe","2132","Services","0","1,780 KB"
"svchost.exe","2208","Services","0","5,988 KB"
"svchost.exe","2304","Services","0","5,096 KB"
"svchost.exe","2408","Services","0","5,864 KB"
"svchost.exe","2448","Services","0","12,340 KB"
"svchost.exe","2476","Services","0","2,092 KB"
"svchost.exe","2516","Services","0","2,480 KB"
"dasHost.exe","2580","Services","0","884 KB"
"svchost.exe","2724","Services","0","4,520 KB"
"svchost.exe","3036","Services","0","2,224 KB"
"svchost.exe","3316","Services","0","44,540 KB"
"svchost.exe","3324","Services","0","916 KB"
"svchost.exe","3332","Services","0","3,304 KB"
"Memory Compression","3388","Services","0","33,392 KB"
"svchost.exe","3480","Services","0","3,980 KB"
"igfxCUIService.exe","3504","Services","0","3,736 KB"
"svchost.exe","3544","Services","0","3,528 KB"
"svchost.exe","3552","Services","0","5,432 KB"
"svchost.exe","3604","Services","0","10,992 KB"
"svchost.exe","3812","Services","0","47,676 KB"
"svchost.exe","3936","Services","0","2,480 KB"
"svchost.exe","3944","Services","0","4,088 KB"
"svchost.exe","2392","Services","0","7,488 KB"
"svchost.exe","1904","Services","0","8,004 KB"
"spoolsv.exe","4144","Services","0","4,028 KB"
"svchost.exe","4236","Services","0","9,272 KB"
"svchost.exe","4384","Services","0","1,644 KB"
"svchost.exe","4396","Services","0","9,100 KB"
"AdminService.exe","4404","Services","0","2,360 KB"
"svchost.exe","4412","Services","0","22,320 KB"
"svchost.exe","4424","Services","0","1,900 KB"
"svchost.exe","4432","Services","0","3,124 KB"
"mysqld.exe","4468","Services","0","1,896 KB"
"svchost.exe","4520","Services","0","3,352 KB"
"svchost.exe","4568","Services","0","3,500 KB"
"QcomWlanSrvx64.exe","4580","Services","0","1,396 KB"
"svchost.exe","4596","Services","0","2,864 KB"
"ssh-agent.exe","4636","Services","0","N/D"
"sqlwriter.exe","4644","Services","0","992 KB"
"svchost.exe","4700","Services","0","8,980 KB"
"svchost.exe","4708","Services","0","2,372 KB"
"MsMpEng.exe","4716","Services","0","14,464 KB"
"svchost.exe","4824","Services","0","1,772 KB"
"svchost.exe","4880","Services","0","372 KB"
"mDNSResponder.exe","5004","Services","0","2,768 KB"
"svchost.exe","5404","Services","0","1,332 KB"
"oracle.exe","5612","Services","0","203,108 KB"
"tnslsnr.exe","5628","Services","0","2,812 KB"
"omtsreco.exe","5636","Services","0","1,420 KB"
"svchost.exe","4452","Services","0","660 KB"
"svchost.exe","3032","Services","0","10,976 KB"
"sihost.exe","4380","Console","1","29,612 KB"
"svchost.exe","4248","Console","1","20,204 KB"
"svchost.exe","4000","Console","1","34,340 KB"
"taskhostw.exe","1192","Console","1","13,732 KB"
"SmartDefrag.exe","4956","Console","1","1,052 KB"
"svchost.exe","6116","Services","0","1,976 KB"
"ctfmon.exe","5728","Console","1","8,864 KB"
"svchost.exe","1636","Services","0","16,296 KB"
"RealTimeProtector.exe","4812","Console","1","3,148 KB"
"svchost.exe","6500","Console","1","21,312 KB"
"jhi_service.exe","6884","Services","0","1,124 KB"
"igfxEM.exe","556","Console","1","3,668 KB"
"igfxHK.exe","1920","Console","1","1,484 KB"
"igfxTray.exe","988","Console","1","5,192 KB"
"SearchIndexer.exe","6880","Services","0","31,648 KB"
"LMS.exe","5180","Services","0","1,048 KB"
"svchost.exe","6900","Console","1","14,064 KB"
"svchost.exe","7312","Services","0","8,500 KB"
"svchost.exe","7420","Services","0","11,976 KB"
"SettingSyncHost.exe","7152","Console","1","1,584 KB"
"ASCTray.exe","7340","Console","1","3,756 KB"
"svchost.exe","4460","Services","0","10,344 KB"
"IDMIntegrator64.exe","7284","Console","1","4,228 KB"
"svchost.exe","6392","Services","0","1,388 KB"
"svchost.exe","8732","Services","0","10,580 KB"
"SgrmBroker.exe","7264","Services","0","4,112 KB"
"IEMonitor.exe","9272","Console","1","1,416 KB"
"svchost.exe","8316","Services","0","3,280 KB"
"SecurityHealthService.exe","8632","Services","0","4,628 KB"
"cmd.exe","8308","Services","0","756 KB"
"conhost.exe","10384","Services","0","664 KB"
"svchost.exe","1384","Services","0","2,968 KB"
"svchost.exe","5436","Services","0","2,296 KB"
"dllhost.exe","6692","Console","1","6,656 KB"
"SystemSettings.exe","10444","Console","1","29,564 KB"
"ApplicationFrameHost.exe","7556","Console","1","22,168 KB"
"UserOOBEBroker.exe","6096","Console","1","2,052 KB"
"svchost.exe","9296","Services","0","2,008 KB"
"svchost.exe","1292","Services","0","2,208 KB"
"svchost.exe","11040","Console","1","3,000 KB"
"taskhostw.exe","1868","Console","1","12,728 KB"
"svchost.exe","14212","Services","0","3,624 KB"
"svchost.exe","13060","Services","0","4,780 KB"
"smartscreen.exe","8184","Console","1","17,728 KB"
"svchost.exe","14828","Services","0","24,244 KB"
"RuntimeBroker.exe","6644","Console","1","16,916 KB"
"Telegram.exe","21056","Console","1","41,120 KB"
"svchost.exe","13452","Services","0","372 KB"
"MEGAsync.exe","20192","Console","1","63,468 KB"
"Taskmgr.exe","16704","Console","1","51,224 KB"
"explorer.exe","2880","Console","1","153,692 KB"
"ShellExperienceHost.exe","14204","Console","1","11,268 KB"
"StartMenuExperienceHost.exe","22452","Console","1","45,656 KB"
"RuntimeBroker.exe","22024","Console","1","23,756 KB"
"RuntimeBroker.exe","6348","Console","1","16,100 KB"
"RuntimeBroker.exe","21672","Console","1","27,020 KB"
"uTorrent.exe","19196","Console","1","93,368 KB"
"utorrentie.exe","21996","Console","1","87,136 KB"
"utorrentie.exe","12616","Console","1","58,808 KB"
"helper.exe","10640","Console","1","8,992 KB"
"rundll32.exe","6592","Console","1","6,132 KB"
"IDMan.exe","19400","Console","1","28,636 KB"
"swriter.exe","22144","Console","1","3,248 KB"
"soffice.exe","2220","Console","1","4,816 KB"
"soffice.bin","17528","Console","1","89,976 KB"
"svchost.exe","16728","Services","0","10,108 KB"
"SearchUI.exe","20832","Console","1","32,348 KB"
"opera.exe","20120","Console","1","246,136 KB"
"opera.exe","7328","Console","1","149,928 KB"
"opera.exe","14696","Console","1","52,420 KB"
"opera.exe","15956","Console","1","63,448 KB"
"opera.exe","17260","Console","1","79,536 KB"
"opera.exe","13644","Console","1","23,192 KB"
"opera.exe","4748","Console","1","110,940 KB"
"opera.exe","14992","Console","1","73,120 KB"
"opera.exe","11464","Console","1","22,900 KB"
"opera.exe","12968","Console","1","185,436 KB"
"opera.exe","11956","Console","1","22,856 KB"
"opera.exe","9924","Console","1","22,900 KB"
"opera.exe","11636","Console","1","23,120 KB"
"opera.exe","20440","Console","1","22,880 KB"
